26-03-01 10:25:43.891 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests], using SpringBootContextLoader 
26-03-01 10:25:48.733 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-03-01 10:25:48.806 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-03-01 10:25:48.809 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-03-01 10:25:49.083 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@56a4abd0 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-03-01 10:25:50.930 [cluster-rtt-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:255787}] to ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.930 [cluster-rtt-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:295965}] to ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.930 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:295965}] to ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.932 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=847086700, setName='atlas-d6ffx4-shard-0', canonicalAddress=ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017, hosts=[ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000126, setVersion=28, topologyVersion=TopologyVersion{processId=699dc73242825af7e19aff05, counter=6}, lastWriteDate=Sun Mar 01 10:25:49 IST 2026, lastUpdateTimeNanos=84183392146500} 
26-03-01 10:25:50.945 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000126 from replica set primary ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.945 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 28 from replica set primary ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.946 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.993 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:250070}] to ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.993 [cluster-rtt-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:250070}] to ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:50.994 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=913761100, setName='atlas-d6ffx4-shard-0', canonicalAddress=ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, hosts=[ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=28, topologyVersion=TopologyVersion{processId=699dc98a0f1c1d5f6b98f95c, counter=3}, lastWriteDate=Sun Mar 01 10:25:49 IST 2026, lastUpdateTimeNanos=84183458758900} 
26-03-01 10:25:50.994 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:255787}] to ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:51.000 [cluster-ClusterId{value='69a3c6d4a53b80374efc0c2e', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=914924100, setName='atlas-d6ffx4-shard-0', canonicalAddress=ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, hosts=[ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=28, topologyVersion=TopologyVersion{processId=699dc49c8b137b3314836215, counter=4}, lastWriteDate=Sun Mar 01 10:25:49 IST 2026, lastUpdateTimeNanos=84183459886500} 
26-03-01 10:25:52.398 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:295906}] to ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-03-01 10:25:53.693 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@44d43cc9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@384472bf, org.springframework.security.web.context.SecurityContextPersistenceFilter@7ef41ca2, org.springframework.security.web.header.HeaderWriterFilter@b75b890, org.springframework.security.web.authentication.logout.LogoutFilter@762bf32d, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1c2d63f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@d70e9a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7f1f60a0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@656ec00d, org.springframework.security.web.session.SessionManagementFilter@239b98cb, org.springframework.security.web.access.ExceptionTranslationFilter@56d6a1b1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@62058742] 
26-03-01 10:25:55.367 [main] INFO  n.e.j.r.UserRepositoryImplTests - Started UserRepositoryImplTests in 10.805 seconds (JVM running for 12.914) 
