26-02-27 01:08:00.122 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http) 
26-02-27 01:08:01.637 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:143094}] to ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.638 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=386729900, setName='atlas-d6ffx4-shard-0', canonicalAddress=ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, hosts=[ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=28, topologyVersion=TopologyVersion{processId=699dc49c8b137b3314836215, counter=4}, lastWriteDate=Fri Feb 27 01:08:00 IST 2026, lastUpdateTimeNanos=88385048771200} 
26-02-27 01:08:01.638 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=377322500, setName='atlas-d6ffx4-shard-0', canonicalAddress=ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017, hosts=[ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000126, setVersion=28, topologyVersion=TopologyVersion{processId=699dc73242825af7e19aff05, counter=6}, lastWriteDate=Fri Feb 27 01:08:00 IST 2026, lastUpdateTimeNanos=88385048771200} 
26-02-27 01:08:01.642 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000126 from replica set primary ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.643 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 28 from replica set primary ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.643 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.674 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:119921}] to ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.674 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=425343300, setName='atlas-d6ffx4-shard-0', canonicalAddress=ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, hosts=[ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=28, topologyVersion=TopologyVersion{processId=699dc98a0f1c1d5f6b98f95c, counter=3}, lastWriteDate=Fri Feb 27 01:08:00 IST 2026, lastUpdateTimeNanos=88385086775700} 
26-02-27 01:08:02.015 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:143035}] to ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:02.571 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@67763ebe, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b4a2fa8, org.springframework.security.web.context.SecurityContextPersistenceFilter@1cde374, org.springframework.security.web.header.HeaderWriterFilter@4b4814d0, org.springframework.security.web.authentication.logout.LogoutFilter@26a4f9ed, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4bbf38b8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@9263c54, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2e4eda17, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5da6b13d, org.springframework.security.web.session.SessionManagementFilter@25699aa7, org.springframework.security.web.access.ExceptionTranslationFilter@45e140ae, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7b91d9f] 
26-02-27 01:08:03.061 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"] 
26-02-27 01:08:03.089 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/journal' 
26-02-27 01:08:03.099 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 5.149 seconds (JVM running for 5.866) 
